"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"79",560,20,580,40,1424.7123285707,1429.31138428028,1514.46323556989,1537.43086687199,1526.82099902499,1546.48193437113,1582.12909042135,1633.02530074659,79
"80",580,20,600,40,955.402772741558,728.210680141731,733.22773934231,682.237089568221,654.304856623754,601.392056205784,624.075764498866,649.954869165949,80
"81",600,20,620,40,874.694478698739,740.77510177728,844.902819809423,834.415206002951,794.850041159574,645.725381052562,708.527953760595,671.000963581342,81
"82",620,20,640,40,604.724944651628,569.729269000934,593.798939357456,567.868871825305,476.590756703907,503.501965679144,500.248424856199,570.875950644033,82
"83",640,20,660,40,2059.41282424501,2113.84633738337,1859.22113199867,1562.18096852427,1505.23483678923,1565.55703881762,1762.4000003258,1781.52937497757,83
"84",660,20,680,40,789.856172071467,614.142436433561,718.455937033804,715.143183887658,772.28204974528,809.69642021651,826.923557256032,863.988581540369,84
"85",680,20,700,40,1104.89714804564,1322.77237445205,746.872672732443,713.373975450675,748.362126690032,678.50285035345,699.886199892906,686.874585128122,85
"86",700,20,720,40,1637.44357292774,1567.4783229504,851.099726908409,1100.03060967324,1046.7231082357,1139.25332697599,1127.66413509197,1137.99462287688,86
"87",720,20,740,40,436.714904497243,417.946891232718,446.439399597541,425.335211088617,512.273263259358,583.531659540373,625.374872127431,683.247922162153,87
"88",740,20,760,40,572.156568175762,627.280483556418,577.872251275714,658.23600071948,666.825089528044,759.510886490049,786.336449933769,680.148400017173,88
"89",760,20,780,40,619.055409554611,522.051966967307,451.766655777907,454.278649018125,477.314702717402,516.128029319526,552.497964312665,557.790453894752,89
"90",780,20,800,40,571.602019913429,657.894229390558,584.89063403439,567.297270716265,504.42054202118,538.958130758095,525.882734360109,554.99031351989,90
"91",800,20,820,40,716.641508820277,770.087107919393,742.455487309465,557.643856604153,556.045925410556,511.09995070503,545.101600560886,534.2004119089,91
"92",820,20,840,40,459.746979116475,473.480775966451,462.410230108415,484.660903538185,490.945676119122,517.558203849582,543.755914267176,533.026281983743,92
"93",840,20,860,40,421.37031365481,438.314878902201,431.234826076295,439.525848212734,423.769077016146,359.94419084649,397.706491600819,373.634356864422,93
"94",860,20,880,40,2900.47659612257,1818.86737207394,1922.80723034854,1648.85696714317,2092.64982120351,1886.1611274851,1862.13009563723,1956.80672337298,94
"95",880,20,900,40,667.869289206594,544.472719200285,591.951495368176,555.176857328054,606.557470682404,581.623219188565,615.99384394014,518.776462627167,95
"96",900,20,920,40,511.694728746151,526.53770370094,538.029351262065,567.552477037938,609.492062964012,629.196503009062,684.153569419709,714.893858201844,96
"97",920,20,940,40,639.143607059784,608.616767773757,633.169751803642,583.076550170073,596.53738194082,554.411146450575,575.743246228176,598.035377477218,97
"98",940,20,960,40,498.782272302093,488.993751470093,478.598422438341,498.010224126278,479.718133814736,487.316623463609,491.20909157025,459.579370990749,98
"99",960,20,980,40,468.972197633664,456.358330775361,464.718479181139,490.221722715276,495.339520119916,411.047873608775,442.548001167019,460.72269191137,99
"100",980,20,1000,40,600.111996279269,627.698992505255,719.537265544021,770.928247277371,773.633843900768,467.572804443317,618.319830129724,439.245076654775,100
"101",0,40,20,60,532.775312743792,540.161648808428,481.734753150616,461.394303765572,472.323836329695,334.706732519825,442.266020232679,495.079103588298,101
"102",20,40,40,60,504.434952881564,544.064216321501,577.091722229581,614.406093377575,613.464256503999,616.306360420726,670.176239864996,597.363601772852,102
"103",40,40,60,60,761.13300407515,815.483692179361,789.602555305222,786.457679077334,514.10490828683,611.018686838721,642.882564601633,651.410694502783,103
"104",60,40,80,60,600.541281259141,556.703640147995,564.92401209818,614.344340654174,608.288811112616,690.973123260361,632.724751047049,536.217120768101,104
"105",80,40,100,60,850.752712470199,752.479937008591,772.81632901994,775.935749220147,819.146346482482,801.963980684344,826.730757353183,864.03279293671,105
"106",100,40,120,60,781.262178266292,814.116717402733,811.147561159225,824.419137544273,827.62810321692,847.748557604319,853.410723694347,884.733865063584,106
"107",120,40,140,60,378.660319459493,365.789364565164,389.274750607164,376.221928432522,377.715309920414,358.388466428846,363.203986192347,383.909241689365,107
"108",140,40,160,60,388.874244886278,381.154759337707,338.75104828369,345.081731520519,357.538852515732,344.508061062667,331.438141725601,314.560540311879,108
